자전거번호,등록일시,고장구분
SPB-48839,2022-01-02 9:44,기타 
SPB-48174,2022-01-02 9:52,단말기
SPB-35198,2022-01-02 10:03,체인
SPB-53823,2022-01-02 10:04,기타 
SPB-32045,2022-01-02 10:20,기타 
SPB-55269,2022-01-02 10:22,타이어 
SPB-42601,2022-01-02 11:02,안장
SPB-47799,2022-01-02 12:04,안장
SPB-43277,2022-01-02 12:24,기타 
SPB-52547,2022-01-02 12:25,기타 
SPB-82287,2022-01-02 12:34,기타 
SPB-35108,2022-01-02 12:34,타이어 
SPB-32670,2022-01-02 12:40,안장
SPB-47888,2022-01-02 12:51,기타 
SPB-33947,2022-01-02 13:01,페달
SPB-46661,2022-01-02 13:06,체인
SPB-51462,2022-01-02 13:15,기타 
SPB-42707,2022-01-02 13:15,체인
SPB-47856,2022-01-02 13:43,단말기
SPB-54107,2022-01-02 13:48,타이어 
SPB-56054,2022-01-02 13:53,안장
SPB-52632,2022-01-02 13:56,단말기
SPB-48957,2022-01-02 14:01,타이어 
SPB-48957,2022-01-02 14:01,기타 
SPB-81246,2022-01-02 14:08,타이어 
SPB-56088,2022-01-02 14:23,체인
SPB-41256,2022-01-02 14:40,체인
SPB-41256,2022-01-02 14:40,기타 
SPB-42747,2022-01-02 14:58,체인
SPB-34302,2022-01-02 15:04,타이어 
SPB-56164,2022-01-02 15:13,기타 
SPB-32760,2022-01-02 15:22,기타 
SPB-41927,2022-01-02 15:28,안장
SPB-32701,2022-01-02 15:32,타이어 
SPB-48589,2022-01-02 15:35,타이어 
SPB-31471,2022-01-02 15:35,체인
SPB-31471,2022-01-02 15:35,페달
SPB-31300,2022-01-02 15:41,체인
SPB-45001,2022-01-02 15:55,단말기
SPB-52541,2022-01-02 15:55,안장
SPB-34289,2022-01-02 15:58,기타 
SPB-41583,2022-01-02 16:03,안장
SPB-54740,2022-01-02 16:05,단말기
SPB-53120,2022-01-02 16:22,단말기
SPB-38272,2022-01-02 16:26,안장
SPB-58295,2022-01-02 16:28,기타 
SPB-52395,2022-01-02 16:31,안장
SPB-35588,2022-01-02 16:35,체인
SPB-52000,2022-01-02 16:40,단말기
SPB-38485,2022-01-02 16:41,기타 
SPB-44241,2022-01-02 16:44,타이어 
SPB-46363,2022-01-02 16:45,타이어 
SPB-35270,2022-01-02 16:49,기타 
SPB-32179,2022-01-02 16:49,페달
SPB-42675,2022-01-02 17:00,타이어 
SPB-50358,2022-01-02 17:12,체인
SPB-56083,2022-01-02 17:15,안장
SPB-44560,2022-01-02 17:19,기타 
SPB-37233,2022-01-02 17:26,타이어 
SPB-56428,2022-01-02 17:28,기타 
SPB-32210,2022-01-02 17:44,타이어 
SPB-48367,2022-01-02 17:46,기타 
SPB-44316,2022-01-02 17:56,기타 
SPB-35576,2022-01-02 18:00,기타 
SPB-32384,2022-01-02 18:01,기타 
SPB-53888,2022-01-02 18:04,안장
SPB-37077,2022-01-02 18:08,타이어 
SPB-39595,2022-01-02 18:36,페달
SPB-52642,2022-01-02 18:37,단말기
SPB-43546,2022-01-02 18:55,단말기
SPB-32125,2022-01-02 19:08,기타 
SPB-31410,2022-01-02 19:18,단말기
SPB-30554,2022-01-02 19:19,안장
SPB-35325,2022-01-02 19:29,기타 
SPB-32805,2022-01-02 19:48,체인
SPB-54911,2022-01-02 20:21,체인
SPB-49503,2022-01-02 21:19,체인
SPB-37065,2022-01-02 21:36,타이어 
SPB-54040,2022-01-02 21:45,체인
SPB-45530,2022-01-02 21:52,타이어 
SPB-45605,2022-01-02 22:00,타이어 
SPB-49457,2022-01-02 22:05,기타 
SPB-48610,2022-01-02 22:21,기타 
SPB-58609,2022-01-02 22:49,안장
SPB-56329,2022-01-02 23:14,기타 
SPB-32802,2022-01-02 23:25,기타 
SPB-49332,2022-01-03 0:13,체인
SPB-46795,2022-01-03 0:21,체인
SPB-42439,2022-01-03 0:23,안장
SPB-48852,2022-01-03 0:24,기타 
SPB-31297,2022-01-03 1:09,기타 
SPB-33508,2022-01-03 1:16,안장
SPB-33508,2022-01-03 1:16,기타 
SPB-33934,2022-01-03 2:41,기타 
SPB-49132,2022-01-03 2:42,안장
SPB-31687,2022-01-03 2:48,기타 
SPB-33165,2022-01-03 3:45,기타 
SPB-38495,2022-01-03 4:23,기타 
SPB-47078,2022-01-03 4:36,페달
SPB-56390,2022-01-03 5:19,안장
SPB-50664,2022-01-03 6:22,체인
SPB-50664,2022-01-03 6:22,기타 
SPB-35677,2022-01-03 6:34,체인
SPB-50671,2022-01-03 6:34,체인
SPB-33826,2022-01-03 6:38,단말기
SPB-51950,2022-01-03 6:38,체인
SPB-39573,2022-01-03 6:40,체인
SPB-39573,2022-01-03 6:40,기타 
